Judul,URL,Waktu_Update
Penambahan Pasien Sembuh Bertambah Lagi Sebanyak 41.486 Orang Per Hari,https://covid19.go.id/p/berita/penambahan-pasien-sembuh-bertambah-lagi-sebanyak-41486-orang-hari,"Sel, 10 Agu 2021 18:55:56 +0700"
Data Vaksinasi COVID-19 (Update per 10 Agustus 2021),https://covid19.go.id/p/berita/data-vaksinasi-covid-19-update-10-agustus-2021,"Sel, 10 Agu 2021 18:06:42 +0700"
"Grafik Kasus Aktif, Kasus Sembuh dan Kasus Meninggal per Provinsi (Update per 10 Agustus 2021)",https://covid19.go.id/p/berita/grafik-kasus-aktif-kasus-sembuh-dan-kasus-meninggal-provinsi-update-10-agustus-2021,"Sel, 10 Agu 2021 16:44:06 +0700"
"Pasien Sembuh COVID-19 Terus Bertambah Hingga Melebihi 3,1 Juta Orang",https://covid19.go.id/p/berita/pasien-sembuh-covid-19-terus-bertambah-hingga-melebihi-31-juta-orang,"Sel, 10 Agu 2021 08:53:49 +0700"
Data Vaksinasi COVID-19 (Update per 9 Agustus 2021),https://covid19.go.id/p/berita/data-vaksinasi-covid-19-update-9-agustus-2021,"Sen, 09 Agu 2021 16:58:37 +0700"
[SALAH] Video Wawancara CEO Pfizer yang Menolak Divaksin pada Agustus 2021,https://covid19.go.id/p/berita/salah-video-wawancara-ceo-pfizer-yang-menolak-divaksin-pada-agustus-2021,"Sen, 09 Agu 2021 16:38:27 +0700"
"[SALAH] Vaksin Astrazeneca, Pfizer, dan Moderna Berafiliasi dengan Bluetooth kecuali Sinovac",https://covid19.go.id/p/berita/salah-vaksin-astrazeneca-pfizer-dan-moderna-berafiliasi-dengan-bluetooth-kecuali-sinovac,"Sen, 09 Agu 2021 16:30:00 +0700"
"Grafik Kasus Aktif, Kasus Sembuh dan Kasus Meninggal per Provinsi (Update per 9 Agustus 2021)",https://covid19.go.id/p/berita/grafik-kasus-aktif-kasus-sembuh-dan-kasus-meninggal-provinsi-update-9-agustus-2021,"Sen, 09 Agu 2021 16:02:47 +0700"
TNI Angkatan Laut Vaksinasi Warga Pesisir,https://covid19.go.id/p/berita/tni-angkatan-laut-vaksinasi-warga-pesisir,"Sen, 09 Agu 2021 13:28:29 +0700"
Vaksin COVID-19 Aman untuk Ibu Menyusui,https://covid19.go.id/p/berita/vaksin-covid-19-aman-untuk-ibu-menyusui,"Sen, 09 Agu 2021 13:26:13 +0700"
